"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""","""rank"""
"""4577""",364.0,41675.0,33372.0,1.0,2.0,1000.0,1.0,6.0,4.0,21.0,118.0,0.0,7.0,6.0,83.0,17.0,1069.0,6.0,112.0,1400000.0,1.0,2.0,1.0,40462.0,5.0
"""4578""",744.0,41675.0,33372.0,1.0,2.0,1000.0,1.0,5.0,5.0,2.0,120.0,0.0,18.0,13.0,85.0,140.0,971.0,6.0,105.0,1400000.0,1.0,2.0,1.0,39751.0,6.0
"""4579""",318.0,41675.0,33372.0,1.0,2.0,1000.0,1.0,2.0,3.0,28.0,126.0,0.0,3.0,10.0,91.0,46.0,1109.0,6.0,116.0,1400000.0,2.0,2.0,1.0,39703.0,3.0
"""4580""",79.0,41675.0,33372.0,1.0,2.0,1000.0,1.0,1.0,6.0,10.0,131.0,0.0,15.0,15.0,96.0,64.0,1107.0,6.0,115.0,1400000.0,2.0,3.0,1.0,39714.0,2.0
"""4581""",310.0,41675.0,33372.0,1.0,2.0,1000.0,1.0,3.0,1.0,7.0,118.0,-7.0,3.0,6.0,90.0,190.0,1153.0,6.0,116.0,1400000.0,1.0,2.0,4.0,39701.0,4.0
"""4582""",442.0,41675.0,33372.0,1.0,2.0,1000.0,1.0,4.0,2.0,16.0,122.0,0.0,9.0,6.0,87.0,63.0,1110.0,6.0,117.0,1400000.0,6.0,4.0,1.0,39191.0,1.0
"""4583""",136.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,6.0,7.0,10.0,128.0,0.0,1.0,14.0,33.0,150.0,1032.0,12.0,98.0,550000.0,8.0,3.0,1.0,39129.0,8.0
"""4584""",152.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,4.0,12.0,2.0,130.0,0.0,129.0,13.0,35.0,120.0,1037.0,12.0,97.0,550000.0,2.0,3.0,1.0,39770.0,7.0
"""4585""",44.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,12.0,8.0,12.0,113.0,0.0,1.0,12.0,10.0,280.0,1120.0,12.0,95.0,550000.0,2.0,1.0,1.0,39717.0,11.0
"""4586""",43.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,9.0,3.0,18.0,119.0,0.0,7.0,20.0,24.0,29.0,1068.0,12.0,102.0,550000.0,1.0,2.0,1.0,39666.0,1.0
"""4587""",33.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,5.0,5.0,21.0,129.0,0.0,9.0,4.0,34.0,48.0,1006.0,12.0,104.0,550000.0,6.0,2.0,1.0,39541.0,3.0
"""4588""",334.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,7.0,11.0,22.0,121.0,0.0,1.0,1.0,26.0,66.0,1093.0,12.0,93.0,550000.0,2.0,2.0,1.0,39343.0,9.0
"""4589""",531.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,10.0,2.0,4.0,113.0,0.0,6.0,3.0,18.0,76.0,1094.0,12.0,101.0,550000.0,2.0,2.0,1.0,38259.0,5.0
"""4590""",235.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,8.0,4.0,6.0,119.0,-2.0,7.0,8.0,26.0,180.0,1023.0,12.0,99.0,550000.0,2.0,3.0,1.0,38590.0,4.0
"""4591""",342.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,3.0,10.0,16.0,132.0,0.0,30.0,21.0,37.0,350.0,1113.0,12.0,0.0,550000.0,2.0,2.0,1.0,39344.0,12.0
"""4592""",161.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,2.0,6.0,9.0,132.0,0.0,18.0,22.0,37.0,150.0,1079.0,12.0,105.0,550000.0,3.0,2.0,1.0,39205.0,2.0
"""4593""",354.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,1.0,9.0,24.0,133.0,0.0,30.0,11.0,38.0,300.0,1111.0,12.0,92.0,550000.0,1.0,2.0,1.0,38661.0,10.0
"""4594""",126.0,41675.0,33373.0,1.0,5.0,1650.0,1.0,11.0,1.0,28.0,114.0,1.0,29.0,2.0,14.0,460.0,1151.0,12.0,99.0,550000.0,1.0,2.0,1.0,38614.0,6.0
"""4595""",204.0,41675.0,33374.0,1.0,4.0,1800.0,1.0,3.0,4.0,2.0,130.0,0.0,3.0,8.0,58.0,180.0,1043.0,11.0,110.0,725000.0,2.0,1.0,1.0,39022.0,2.0
"""4596""",356.0,41675.0,33374.0,1.0,4.0,1800.0,1.0,10.0,8.0,13.0,114.0,-5.0,37.0,13.0,47.0,210.0,1155.0,11.0,106.0,725000.0,1.0,2.0,1.0,39315.0,5.0
"""4597""",165.0,41675.0,33374.0,1.0,4.0,1800.0,1.0,9.0,2.0,28.0,120.0,0.0,228.0,9.0,48.0,41.0,1116.0,11.0,104.0,725000.0,1.0,2.0,1.0,39362.0,7.0
"""4598""",602.0,41675.0,33374.0,1.0,4.0,1800.0,1.0,1.0,10.0,21.0,131.0,0.0,9.0,6.0,59.0,53.0,1142.0,11.0,109.0,725000.0,1.0,2.0,1.0,39735.0,3.0
"""4599""",489.0,41675.0,33374.0,1.0,4.0,1800.0,1.0,5.0,3.0,6.0,123.0,-2.0,96.0,8.0,53.0,200.0,1219.0,11.0,108.0,725000.0,1.0,2.0,1.0,38647.0,8.0
