"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""","""rank"""
"""651""",158.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,4.0,4.0,17.0,130.0,0.0,3.0,21.0,54.0,270.0,1071.0,10.0,108.0,725000.0,3.0,2.0,1.0,39127.0,1.0
"""652""",22.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,8.0,8.0,1.0,120.0,-2.0,14.0,1.0,46.0,540.0,1184.0,10.0,98.0,725000.0,3.0,1.0,1.0,40262.0,8.0
"""653""",525.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,9.0,7.0,12.0,118.0,0.0,1.0,12.0,42.0,270.0,1071.0,10.0,94.0,725000.0,4.0,4.0,1.0,39844.0,9.0
"""654""",163.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,6.0,6.0,16.0,124.0,0.0,3.0,19.0,48.0,72.0,1014.0,10.0,103.0,725000.0,1.0,3.0,1.0,38620.0,4.0
"""655""",526.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,5.0,5.0,3.0,124.0,0.0,1.0,24.0,48.0,190.0,1001.0,10.0,102.0,725000.0,8.0,1.0,1.0,38846.0,6.0
"""656""",166.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,2.0,2.0,4.0,132.0,0.0,9.0,3.0,56.0,34.0,1088.0,10.0,105.0,725000.0,9.0,1.0,1.0,39334.0,7.0
"""657""",355.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,3.0,3.0,10.0,129.0,-2.0,84.0,8.0,55.0,360.0,1113.0,10.0,101.0,725000.0,1.0,2.0,1.0,38614.0,10.0
"""658""",272.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,1.0,10.0,18.0,133.0,0.0,3.0,17.0,57.0,38.0,1191.0,10.0,109.0,725000.0,1.0,2.0,1.0,39386.0,2.0
"""659""",527.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,10.0,9.0,11.0,115.0,-2.0,100.0,11.0,41.0,88.0,1123.0,10.0,103.0,725000.0,1.0,2.0,1.0,39345.0,5.0
"""660""",159.0,41553.0,33055.0,1.0,4.0,1800.0,2.0,7.0,1.0,5.0,122.0,0.0,22.0,20.0,46.0,41.0,1086.0,10.0,102.0,725000.0,1.0,2.0,1.0,39729.0,3.0
"""661""",528.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,6.0,11.0,5.0,127.0,0.0,27.0,23.0,34.0,100.0,1130.0,14.0,103.0,550000.0,2.0,3.0,1.0,39739.0,1.0
"""662""",529.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,5.0,3.0,11.0,126.0,-2.0,101.0,5.0,35.0,340.0,1077.0,14.0,98.0,550000.0,2.0,2.0,1.0,38224.0,9.0
"""663""",530.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,9.0,2.0,9.0,122.0,0.0,3.0,11.0,29.0,230.0,1152.0,14.0,102.0,550000.0,1.0,3.0,1.0,38994.0,5.0
"""664""",59.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,1.0,9.0,19.0,131.0,-2.0,23.0,20.0,40.0,290.0,1118.0,14.0,93.0,550000.0,1.0,2.0,1.0,40118.0,12.0
"""665""",230.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,3.0,4.0,16.0,132.0,0.0,1.0,18.0,39.0,63.0,974.0,14.0,101.0,550000.0,2.0,2.0,1.0,39719.0,7.0
"""666""",331.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,4.0,6.0,7.0,123.0,-7.0,31.0,7.0,37.0,240.0,1250.0,14.0,0.0,550000.0,1.0,2.0,1.0,39025.0,14.0
"""667""",334.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,11.0,12.0,4.0,120.0,0.0,1.0,1.0,27.0,67.0,1092.0,14.0,92.0,550000.0,2.0,2.0,1.0,39343.0,11.0
"""668""",531.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,13.0,8.0,10.0,112.0,-2.0,6.0,3.0,21.0,450.0,1085.0,14.0,93.0,550000.0,2.0,2.0,1.0,38259.0,10.0
"""669""",335.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,12.0,13.0,15.0,116.0,-2.0,9.0,14.0,25.0,990.0,1023.0,14.0,82.0,550000.0,1.0,2.0,1.0,39725.0,13.0
"""670""",532.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,14.0,1.0,6.0,113.0,2.0,1.0,22.0,18.0,340.0,1221.0,14.0,102.0,550000.0,2.0,2.0,3.0,39731.0,4.0
"""671""",533.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,10.0,7.0,18.0,121.0,0.0,73.0,2.0,28.0,50.0,1041.0,14.0,99.0,550000.0,1.0,1.0,1.0,39775.0,6.0
"""672""",38.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,8.0,14.0,17.0,122.0,0.0,102.0,19.0,29.0,560.0,1140.0,14.0,95.0,550000.0,6.0,2.0,1.0,39892.0,8.0
"""673""",41.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,7.0,10.0,1.0,122.0,-2.0,1.0,12.0,31.0,66.0,1188.0,14.0,102.0,550000.0,1.0,3.0,1.0,39770.0,2.0
"""674""",37.0,41553.0,33056.0,1.0,5.0,1600.0,2.0,2.0,5.0,3.0,132.0,0.0,7.0,6.0,39.0,42.0,1184.0,14.0,101.0,550000.0,2.0,2.0,1.0,39377.0,3.0
"""675""",534.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,3.0,5.0,10.0,130.0,-2.0,9.0,15.0,39.0,680.0,1152.0,14.0,0.0,550000.0,2.0,2.0,8.0,40119.0,9.0
"""676""",3.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,11.0,10.0,13.0,118.0,-5.0,2.0,3.0,30.0,66.0,1020.0,14.0,93.0,550000.0,2.0,3.0,1.0,39722.0,7.0
"""677""",535.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,13.0,14.0,11.0,120.0,-2.0,3.0,18.0,29.0,460.0,1093.0,14.0,81.0,550000.0,1.0,2.0,1.0,38610.0,14.0
"""678""",43.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,8.0,1.0,19.0,124.0,-2.0,9.0,20.0,33.0,89.0,1079.0,14.0,93.0,550000.0,1.0,2.0,1.0,39666.0,11.0
"""679""",5.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,6.0,3.0,5.0,128.0,0.0,4.0,5.0,35.0,100.0,1056.0,14.0,105.0,550000.0,1.0,1.0,2.0,39026.0,3.0
"""680""",218.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,2.0,6.0,7.0,126.0,-7.0,18.0,9.0,40.0,46.0,1186.0,14.0,88.0,550000.0,2.0,2.0,1.0,40047.0,12.0
"""681""",121.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,10.0,12.0,6.0,122.0,-2.0,1.0,24.0,31.0,560.0,1183.0,14.0,90.0,550000.0,1.0,2.0,1.0,38649.0,10.0
"""682""",536.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,5.0,2.0,1.0,128.0,-2.0,94.0,22.0,37.0,140.0,1080.0,14.0,101.0,550000.0,1.0,2.0,1.0,39018.0,5.0
"""683""",537.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,1.0,8.0,3.0,133.0,0.0,3.0,21.0,40.0,50.0,1082.0,14.0,105.0,550000.0,1.0,2.0,1.0,39352.0,1.0
"""684""",538.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,7.0,4.0,16.0,127.0,0.0,68.0,2.0,34.0,77.0,1125.0,14.0,104.0,550000.0,2.0,2.0,1.0,39303.0,2.0
"""685""",539.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,9.0,13.0,4.0,125.0,0.0,6.0,1.0,32.0,400.0,1059.0,14.0,90.0,550000.0,1.0,3.0,1.0,39411.0,8.0
"""686""",540.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,4.0,9.0,9.0,132.0,0.0,103.0,17.0,39.0,200.0,1098.0,14.0,82.0,550000.0,1.0,3.0,1.0,40087.0,13.0
"""687""",125.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,14.0,11.0,8.0,118.0,-2.0,1.0,23.0,27.0,150.0,1123.0,14.0,94.0,550000.0,2.0,2.0,1.0,38955.0,6.0
"""688""",14.0,41553.0,33057.0,1.0,5.0,1200.0,2.0,12.0,7.0,17.0,122.0,0.0,61.0,14.0,29.0,220.0,1136.0,14.0,100.0,550000.0,2.0,1.0,1.0,39717.0,4.0
"""689""",541.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,2.0,14.0,3.0,132.0,0.0,13.0,16.0,58.0,60.0,1142.0,14.0,105.0,725000.0,2.0,2.0,1.0,40445.0,6.0
"""690""",542.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,6.0,3.0,11.0,124.0,-2.0,1.0,18.0,52.0,57.0,1092.0,14.0,0.0,725000.0,1.0,4.0,3.0,40084.0,2.0
"""691""",62.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,12.0,8.0,1.0,116.0,-2.0,26.0,11.0,44.0,120.0,1075.0,14.0,106.0,725000.0,1.0,2.0,1.0,38274.0,3.0
"""692""",277.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,14.0,5.0,6.0,113.0,-2.0,7.0,6.0,41.0,120.0,1054.0,14.0,100.0,725000.0,2.0,2.0,1.0,38981.0,5.0
"""693""",543.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,4.0,12.0,13.0,126.0,-5.0,1.0,13.0,57.0,460.0,1144.0,14.0,96.0,725000.0,1.0,2.0,1.0,39411.0,9.0
"""694""",221.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,9.0,6.0,19.0,121.0,-2.0,1.0,3.0,49.0,990.0,1070.0,14.0,86.0,725000.0,3.0,2.0,1.0,40280.0,11.0
"""695""",544.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,7.0,10.0,10.0,124.0,-2.0,23.0,15.0,52.0,150.0,1085.0,14.0,107.0,725000.0,1.0,2.0,1.0,40150.0,1.0
"""696""",338.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,3.0,7.0,9.0,131.0,0.0,104.0,23.0,57.0,180.0,1069.0,14.0,86.0,725000.0,2.0,2.0,1.0,39740.0,13.0
"""697""",545.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,10.0,4.0,16.0,120.0,0.0,17.0,17.0,46.0,420.0,1143.0,14.0,86.0,725000.0,1.0,3.0,1.0,40085.0,12.0
"""698""",214.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,1.0,9.0,5.0,133.0,0.0,1.0,5.0,59.0,32.0,1124.0,14.0,107.0,725000.0,2.0,3.0,1.0,40114.0,8.0
"""699""",66.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,5.0,13.0,18.0,130.0,0.0,37.0,19.0,56.0,72.0,1136.0,14.0,105.0,725000.0,2.0,2.0,1.0,40134.0,4.0
"""700""",147.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,11.0,1.0,15.0,117.0,-2.0,9.0,20.0,45.0,290.0,1162.0,14.0,88.0,725000.0,1.0,2.0,1.0,39734.0,10.0
"""701""",425.0,41553.0,33058.0,1.0,4.0,1200.0,2.0,13.0,11.0,8.0,113.0,-2.0,37.0,24.0,41.0,430.0,1183.0,14.0,103.0,725000.0,6.0,2.0,3.0,39867.0,7.0
"""702""",546.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,3.0,4.0,9.0,131.0,0.0,105.0,17.0,57.0,990.0,1155.0,14.0,95.0,725000.0,1.0,3.0,1.0,39699.0,7.0
"""703""",51.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,1.0,5.0,10.0,131.0,-2.0,9.0,15.0,59.0,25.0,1057.0,14.0,102.0,725000.0,2.0,2.0,1.0,40029.0,5.0
"""704""",68.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,14.0,11.0,19.0,114.0,1.0,9.0,18.0,41.0,990.0,1115.0,14.0,105.0,725000.0,2.0,4.0,1.0,39344.0,1.0
"""705""",547.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,7.0,2.0,5.0,125.0,0.0,7.0,20.0,51.0,67.0,1131.0,14.0,101.0,725000.0,1.0,2.0,1.0,39754.0,10.0
"""706""",55.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,12.0,1.0,12.0,118.0,0.0,7.0,9.0,44.0,40.0,1264.0,14.0,100.0,725000.0,2.0,3.0,3.0,39687.0,6.0
"""707""",548.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,8.0,14.0,1.0,121.0,-2.0,58.0,1.0,49.0,240.0,1056.0,14.0,100.0,725000.0,1.0,1.0,4.0,40104.0,9.0
"""708""",49.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,9.0,7.0,3.0,121.0,0.0,9.0,6.0,47.0,330.0,1040.0,14.0,0.0,725000.0,2.0,2.0,3.0,40093.0,14.0
"""709""",284.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,10.0,12.0,18.0,120.0,0.0,7.0,4.0,46.0,510.0,1019.0,14.0,104.0,725000.0,3.0,3.0,1.0,39183.0,3.0
"""710""",549.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,13.0,6.0,6.0,113.0,-2.0,106.0,22.0,41.0,270.0,1060.0,14.0,98.0,725000.0,2.0,2.0,1.0,40090.0,8.0
"""711""",56.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,2.0,9.0,16.0,131.0,0.0,37.0,19.0,57.0,990.0,1089.0,14.0,100.0,725000.0,2.0,2.0,3.0,40098.0,12.0
"""712""",356.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,4.0,3.0,13.0,123.0,-5.0,37.0,13.0,54.0,210.0,1125.0,14.0,105.0,725000.0,1.0,2.0,1.0,39315.0,4.0
"""713""",550.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,6.0,8.0,2.0,125.0,0.0,7.0,23.0,51.0,89.0,1095.0,14.0,100.0,725000.0,2.0,2.0,1.0,39016.0,13.0
"""714""",64.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,5.0,13.0,4.0,127.0,0.0,1.0,7.0,53.0,96.0,1163.0,14.0,105.0,725000.0,2.0,2.0,1.0,40109.0,2.0
"""715""",15.0,41553.0,33059.0,1.0,4.0,1400.0,2.0,11.0,10.0,15.0,117.0,-2.0,7.0,3.0,45.0,990.0,1066.0,14.0,100.0,725000.0,1.0,5.0,1.0,39697.0,11.0
"""716""",551.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,11.0,4.0,6.0,120.0,-2.0,107.0,5.0,48.0,92.0,1135.0,14.0,107.0,725000.0,1.0,2.0,1.0,39710.0,2.0
"""717""",226.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,13.0,3.0,12.0,116.0,0.0,9.0,13.0,42.0,160.0,1120.0,14.0,97.0,725000.0,1.0,2.0,1.0,39776.0,8.0
"""718""",552.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,5.0,1.0,9.0,131.0,0.0,108.0,14.0,57.0,990.0,1074.0,14.0,84.0,725000.0,3.0,4.0,1.0,40277.0,14.0
"""719""",154.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,6.0,7.0,19.0,128.0,-2.0,47.0,20.0,56.0,100.0,1123.0,14.0,109.0,725000.0,1.0,2.0,1.0,39737.0,4.0
"""720""",553.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,1.0,13.0,5.0,133.0,0.0,109.0,7.0,59.0,32.0,1126.0,14.0,112.0,725000.0,1.0,1.0,1.0,39749.0,1.0
"""721""",150.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,2.0,8.0,13.0,128.0,-5.0,31.0,17.0,59.0,140.0,1079.0,14.0,103.0,725000.0,3.0,3.0,1.0,39520.0,9.0
"""722""",554.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,7.0,14.0,17.0,125.0,0.0,107.0,9.0,51.0,180.0,1190.0,14.0,108.0,725000.0,2.0,2.0,1.0,40066.0,6.0
"""723""",217.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,8.0,11.0,8.0,122.0,-2.0,1.0,1.0,50.0,990.0,1081.0,14.0,95.0,725000.0,6.0,2.0,1.0,39909.0,11.0
"""724""",174.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,14.0,9.0,4.0,115.0,0.0,110.0,6.0,41.0,99.0,1090.0,14.0,103.0,725000.0,1.0,2.0,1.0,39727.0,7.0
"""725""",555.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,9.0,12.0,2.0,124.0,0.0,38.0,10.0,50.0,31.0,1145.0,14.0,109.0,725000.0,1.0,1.0,3.0,40083.0,3.0
"""726""",556.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,10.0,5.0,15.0,121.0,-2.0,3.0,3.0,49.0,640.0,1052.0,14.0,100.0,725000.0,1.0,2.0,1.0,40053.0,5.0
"""727""",557.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,12.0,6.0,1.0,116.0,-2.0,7.0,23.0,44.0,570.0,1122.0,14.0,98.0,725000.0,1.0,2.0,1.0,38597.0,10.0
"""728""",558.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,4.0,2.0,10.0,129.0,-2.0,77.0,21.0,57.0,280.0,1052.0,14.0,90.0,725000.0,6.0,3.0,1.0,40214.0,13.0
"""729""",222.0,41553.0,33060.0,1.0,4.0,1200.0,2.0,3.0,10.0,11.0,130.0,-2.0,22.0,2.0,58.0,990.0,1157.0,14.0,91.0,725000.0,6.0,3.0,1.0,39932.0,12.0
"""730""",104.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,4.0,12.0,1.0,126.0,-2.0,9.0,6.0,73.0,79.0,1175.0,13.0,114.0,1000000.0,2.0,2.0,1.0,39709.0,1.0
"""731""",559.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,5.0,3.0,9.0,126.0,0.0,3.0,9.0,71.0,66.0,1115.0,13.0,113.0,1000000.0,6.0,3.0,1.0,39882.0,4.0
"""732""",560.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,10.0,7.0,4.0,119.0,0.0,45.0,14.0,64.0,96.0,1192.0,13.0,107.0,1000000.0,1.0,2.0,1.0,39751.0,8.0
"""733""",382.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,8.0,13.0,5.0,123.0,0.0,9.0,20.0,68.0,210.0,1091.0,13.0,111.0,1000000.0,1.0,1.0,1.0,39353.0,7.0
"""734""",561.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,9.0,11.0,10.0,118.0,-2.0,9.0,15.0,65.0,460.0,1159.0,13.0,105.0,1000000.0,3.0,2.0,6.0,39571.0,9.0
"""735""",562.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,3.0,2.0,2.0,129.0,0.0,1.0,3.0,74.0,130.0,1213.0,13.0,112.0,1000000.0,2.0,5.0,3.0,39369.0,3.0
"""736""",324.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,2.0,8.0,11.0,129.0,-2.0,7.0,15.0,76.0,87.0,1128.0,13.0,112.0,1000000.0,2.0,2.0,1.0,39677.0,6.0
"""737""",563.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,1.0,4.0,12.0,133.0,0.0,78.0,17.0,78.0,110.0,1104.0,13.0,117.0,1000000.0,3.0,2.0,1.0,39845.0,2.0
"""738""",450.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,6.0,1.0,13.0,120.0,-5.0,9.0,13.0,70.0,630.0,1124.0,13.0,109.0,1000000.0,1.0,2.0,1.0,39723.0,10.0
"""739""",321.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,12.0,5.0,19.0,115.0,-2.0,7.0,19.0,62.0,440.0,1056.0,13.0,81.0,1000000.0,2.0,2.0,1.0,40091.0,13.0
"""740""",564.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,13.0,10.0,6.0,114.0,-2.0,111.0,24.0,61.0,740.0,1082.0,13.0,100.0,1000000.0,4.0,2.0,1.0,39879.0,11.0
"""741""",102.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,11.0,9.0,8.0,116.0,-2.0,37.0,22.0,63.0,170.0,1175.0,13.0,98.0,1000000.0,1.0,2.0,1.0,38992.0,12.0
"""742""",565.0,41553.0,33061.0,1.0,3.0,1600.0,2.0,7.0,6.0,3.0,123.0,0.0,1.0,5.0,68.0,26.0,1068.0,13.0,108.0,1000000.0,6.0,3.0,1.0,39921.0,5.0
"""743""",566.0,41553.0,33062.0,1.0,3.0,1200.0,2.0,1.0,9.0,11.0,131.0,-2.0,3.0,11.0,80.0,410.0,1174.0,14.0,106.0,1000000.0,1.0,1.0,1.0,39003.0,11.0
"""744""",567.0,41553.0,33062.0,1.0,3.0,1200.0,2.0,2.0,8.0,3.0,130.0,0.0,30.0,16.0,77.0,120.0,1169.0,14.0,108.0,1000000.0,3.0,2.0,3.0,40208.0,10.0
"""745""",225.0,41553.0,33062.0,1.0,3.0,1200.0,2.0,6.0,12.0,9.0,119.0,0.0,7.0,14.0,66.0,100.0,1142.0,14.0,112.0,1000000.0,2.0,2.0,7.0,39327.0,2.0
"""746""",93.0,41553.0,33062.0,1.0,3.0,1200.0,2.0,7.0,2.0,5.0,120.0,2.0,1.0,18.0,65.0,40.0,1207.0,14.0,106.0,1000000.0,1.0,1.0,1.0,40127.0,9.0
"""747""",568.0,41553.0,33062.0,1.0,3.0,1200.0,2.0,8.0,10.0,1.0,116.0,-2.0,9.0,5.0,65.0,990.0,1168.0,14.0,95.0,1000000.0,1.0,2.0,3.0,39737.0,13.0
