"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""27115""",1963.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,14.0,4.0,50.0,117.0,0.0,58.0,3.0,0.0,350.0,1003.0,14.0,0.0,800000.0,1.0,4.0,1.0,41568.0,0.0
"""27116""",1964.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,9.0,6.0,1.0,117.0,0.0,77.0,9.0,0.0,170.0,1126.0,14.0,0.0,800000.0,2.0,2.0,1.0,41544.0,1.0
"""27117""",1965.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,8.0,11.0,4.0,117.0,0.0,1.0,16.0,0.0,420.0,1184.0,14.0,0.0,800000.0,2.0,3.0,1.0,41540.0,0.0
"""27118""",1966.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,10.0,3.0,72.0,117.0,0.0,77.0,9.0,0.0,1100.0,1099.0,14.0,0.0,800000.0,1.0,2.0,1.0,41541.0,0.0
"""27119""",1945.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,2.0,12.0,77.0,126.0,0.0,3.0,9.0,0.0,150.0,1071.0,14.0,0.0,800000.0,3.0,2.0,1.0,41329.0,1.0
"""27120""",1908.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,3.0,13.0,24.0,126.0,0.0,29.0,10.0,0.0,42.0,1180.0,14.0,0.0,800000.0,3.0,2.0,1.0,41377.0,1.0
"""27121""",1967.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,5.0,8.0,5.0,126.0,0.0,77.0,21.0,0.0,62.0,1074.0,14.0,0.0,800000.0,3.0,2.0,1.0,41384.0,1.0
"""27122""",1929.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,13.0,14.0,6.0,115.0,-2.0,245.0,7.0,0.0,150.0,1166.0,14.0,0.0,800000.0,2.0,2.0,4.0,41513.0,1.0
"""27123""",1909.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,6.0,1.0,13.0,121.0,-5.0,18.0,15.0,0.0,590.0,1053.0,14.0,0.0,800000.0,3.0,2.0,1.0,41387.0,0.0
"""27124""",1968.0,42533.0,35706.0,9.0,0.0,1000.0,6.0,12.0,9.0,3.0,117.0,0.0,1.0,16.0,0.0,120.0,1206.0,14.0,0.0,800000.0,2.0,2.0,1.0,41575.0,1.0
