"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""13381""",1369.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,12.0,7.0,23.0,120.0,0.0,1.0,4.0,46.0,750.0,1072.0,14.0,95.0,760000.0,2.0,2.0,1.0,40826.0,0.0
"""13382""",1439.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,1.0,11.0,9.0,132.0,0.0,1.0,9.0,58.0,100.0,1155.0,14.0,110.0,760000.0,2.0,3.0,1.0,40849.0,1.0
"""13383""",1447.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,4.0,8.0,24.0,126.0,0.0,37.0,13.0,52.0,53.0,1100.0,14.0,106.0,760000.0,1.0,2.0,1.0,40460.0,1.0
"""13384""",1465.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,2.0,13.0,11.0,124.0,-2.0,1.0,12.0,52.0,1870.0,1108.0,14.0,93.0,760000.0,1.0,4.0,1.0,40500.0,0.0
"""13385""",1499.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,5.0,9.0,57.0,126.0,0.0,215.0,23.0,52.0,580.0,1039.0,14.0,95.0,760000.0,2.0,2.0,1.0,40433.0,0.0
"""13386""",1500.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,3.0,14.0,4.0,126.0,0.0,134.0,10.0,52.0,670.0,1165.0,14.0,86.0,760000.0,10.0,3.0,1.0,40839.0,0.0
"""13387""",1438.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,9.0,1.0,15.0,124.0,-2.0,18.0,2.0,52.0,1790.0,1139.0,14.0,78.0,760000.0,1.0,2.0,1.0,40423.0,0.0
"""13388""",1130.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,14.0,12.0,19.0,116.0,-2.0,1.0,3.0,44.0,2840.0,1080.0,14.0,92.0,760000.0,2.0,2.0,1.0,40055.0,0.0
"""13389""",1501.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,7.0,4.0,21.0,126.0,0.0,77.0,16.0,52.0,51.0,1178.0,14.0,105.0,760000.0,2.0,1.0,1.0,40841.0,1.0
"""13390""",1470.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,8.0,10.0,22.0,126.0,0.0,1.0,1.0,52.0,48.0,1129.0,14.0,97.0,760000.0,1.0,2.0,1.0,40471.0,0.0
"""13391""",786.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,10.0,6.0,28.0,125.0,0.0,15.0,7.0,51.0,34.0,1127.0,14.0,103.0,760000.0,1.0,2.0,1.0,40440.0,1.0
"""13392""",791.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,13.0,5.0,27.0,119.0,0.0,7.0,19.0,45.0,140.0,1053.0,14.0,102.0,760000.0,2.0,3.0,1.0,40411.0,1.0
"""13393""",1435.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,6.0,2.0,13.0,121.0,-5.0,9.0,15.0,52.0,140.0,1133.0,14.0,107.0,760000.0,2.0,2.0,1.0,40810.0,0.0
"""13394""",65.0,42022.0,34319.0,6.0,4.0,1200.0,2.0,11.0,3.0,8.0,121.0,-2.0,9.0,14.0,49.0,240.0,1030.0,14.0,96.0,760000.0,4.0,2.0,1.0,39941.0,0.0
