"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""18223""",278.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,11.0,11.0,19.0,114.0,-2.0,3.0,22.0,23.0,110.0,1106.0,14.0,0.0,575000.0,1.0,2.0,1.0,40121.0,0.0
"""18224""",229.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,10.0,6.0,21.0,120.0,0.0,3.0,21.0,27.0,24.0,1155.0,14.0,105.0,575000.0,2.0,3.0,1.0,39340.0,1.0
"""18225""",453.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,14.0,8.0,10.0,113.0,0.0,1.0,12.0,7.0,780.0,1036.0,14.0,0.0,575000.0,1.0,2.0,1.0,39355.0,0.0
"""18226""",448.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,4.0,5.0,1.0,128.0,0.0,37.0,4.0,35.0,430.0,1100.0,14.0,88.0,575000.0,4.0,5.0,1.0,39480.0,0.0
"""18227""",426.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,3.0,7.0,24.0,128.0,0.0,3.0,14.0,35.0,870.0,1036.0,14.0,93.0,575000.0,2.0,2.0,3.0,40122.0,0.0
"""18228""",1257.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,8.0,3.0,4.0,122.0,0.0,1.0,20.0,29.0,160.0,1084.0,14.0,96.0,575000.0,2.0,2.0,1.0,40407.0,0.0
"""18229""",690.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,9.0,10.0,9.0,121.0,0.0,30.0,8.0,28.0,100.0,1146.0,14.0,101.0,575000.0,2.0,2.0,1.0,39366.0,0.0
"""18230""",1353.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,1.0,4.0,22.0,133.0,0.0,638.0,9.0,40.0,630.0,1160.0,14.0,86.0,575000.0,2.0,2.0,1.0,40836.0,0.0
"""18231""",1317.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,5.0,9.0,64.0,117.0,-10.0,639.0,13.0,34.0,1100.0,1069.0,14.0,0.0,575000.0,1.0,2.0,1.0,40438.0,0.0
"""18232""",1052.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,2.0,14.0,5.0,130.0,0.0,3.0,23.0,37.0,29.0,1178.0,14.0,105.0,575000.0,1.0,2.0,1.0,40496.0,1.0
"""18233""",633.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,12.0,12.0,15.0,112.0,1.0,100.0,17.0,13.0,1000.0,1158.0,14.0,0.0,575000.0,2.0,2.0,1.0,39339.0,0.0
"""18234""",587.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,6.0,1.0,16.0,126.0,0.0,1.0,6.0,33.0,110.0,1034.0,14.0,97.0,575000.0,1.0,2.0,1.0,39730.0,0.0
"""18235""",1473.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,7.0,13.0,20.0,123.0,0.0,101.0,16.0,30.0,330.0,1256.0,14.0,83.0,575000.0,2.0,3.0,1.0,40850.0,0.0
"""18236""",1270.0,42176.0,34708.0,9.0,5.0,1600.0,1.0,13.0,2.0,11.0,113.0,2.0,334.0,11.0,12.0,670.0,1105.0,14.0,0.0,575000.0,1.0,2.0,4.0,40503.0,0.0
"""18237""",1599.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,9.0,1.0,19.0,121.0,-2.0,58.0,14.0,50.0,190.0,1242.0,12.0,100.0,760000.0,1.0,2.0,1.0,40850.0,0.0
"""18238""",1558.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,10.0,3.0,16.0,122.0,0.0,3.0,5.0,49.0,120.0,1132.0,12.0,0.0,760000.0,1.0,2.0,1.0,40787.0,0.0
"""18239""",741.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,5.0,5.0,20.0,127.0,0.0,9.0,23.0,54.0,340.0,1079.0,12.0,100.0,760000.0,2.0,2.0,1.0,40056.0,0.0
"""18240""",482.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,12.0,2.0,12.0,116.0,0.0,3.0,12.0,43.0,200.0,1181.0,12.0,98.0,760000.0,2.0,2.0,1.0,39707.0,0.0
"""18241""",1440.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,7.0,12.0,22.0,125.0,0.0,1.0,9.0,52.0,28.0,1118.0,12.0,101.0,760000.0,1.0,2.0,1.0,40859.0,0.0
"""18242""",582.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,3.0,10.0,24.0,130.0,0.0,13.0,21.0,57.0,110.0,1027.0,12.0,105.0,760000.0,2.0,4.0,1.0,40100.0,0.0
"""18243""",1160.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,2.0,11.0,21.0,130.0,0.0,7.0,6.0,57.0,130.0,1107.0,12.0,0.0,760000.0,2.0,2.0,1.0,40453.0,0.0
"""18244""",1548.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,11.0,4.0,64.0,109.0,-10.0,13.0,3.0,46.0,160.0,1151.0,12.0,100.0,760000.0,2.0,1.0,1.0,40797.0,0.0
"""18245""",1664.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,8.0,8.0,9.0,125.0,0.0,3.0,2.0,52.0,1580.0,1085.0,12.0,89.0,760000.0,1.0,2.0,1.0,40472.0,0.0
"""18246""",1524.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,4.0,9.0,5.0,129.0,0.0,1.0,11.0,56.0,48.0,1043.0,12.0,0.0,760000.0,6.0,2.0,1.0,40638.0,0.0
"""18247""",68.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,6.0,7.0,15.0,123.0,-2.0,9.0,18.0,52.0,330.0,1129.0,12.0,0.0,760000.0,2.0,4.0,1.0,39344.0,0.0
"""18248""",39.0,42176.0,34709.0,9.0,4.0,1200.0,1.0,1.0,6.0,4.0,133.0,0.0,535.0,7.0,60.0,53.0,1151.0,12.0,0.0,760000.0,2.0,1.0,1.0,40092.0,0.0
"""18249""",876.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,3.0,3.0,3.0,128.0,0.0,7.0,7.0,55.0,190.0,1127.0,12.0,102.0,760000.0,1.0,2.0,1.0,39727.0,0.0
"""18250""",1504.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,9.0,10.0,64.0,111.0,-10.0,67.0,3.0,48.0,180.0,1061.0,12.0,102.0,760000.0,1.0,2.0,1.0,40856.0,0.0
"""18251""",1375.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,4.0,9.0,12.0,127.0,0.0,29.0,23.0,54.0,1230.0,1137.0,12.0,0.0,760000.0,2.0,2.0,1.0,40441.0,0.0
"""18252""",1673.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,5.0,6.0,24.0,125.0,0.0,58.0,10.0,52.0,44.0,1075.0,12.0,118.0,760000.0,2.0,2.0,1.0,40858.0,1.0
"""18253""",808.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,11.0,8.0,16.0,120.0,1.0,9.0,17.0,46.0,830.0,1186.0,12.0,0.0,760000.0,2.0,3.0,1.0,39378.0,0.0
"""18254""",1178.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,8.0,5.0,15.0,119.0,-2.0,38.0,20.0,48.0,1320.0,1002.0,12.0,102.0,760000.0,3.0,3.0,1.0,40622.0,0.0
"""18255""",1549.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,2.0,12.0,5.0,132.0,0.0,58.0,2.0,59.0,1040.0,1013.0,12.0,0.0,760000.0,10.0,2.0,1.0,0.0,0.0
"""18256""",1470.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,10.0,4.0,8.0,119.0,-2.0,58.0,1.0,48.0,70.0,1123.0,12.0,109.0,760000.0,1.0,2.0,1.0,40471.0,1.0
"""18257""",1361.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,1.0,1.0,22.0,132.0,0.0,61.0,9.0,59.0,34.0,1140.0,12.0,0.0,760000.0,2.0,2.0,1.0,40805.0,0.0
"""18258""",1563.0,42176.0,34710.0,9.0,4.0,1200.0,1.0,6.0,2.0,21.0,123.0,0.0,1.0,18.0,50.0,31.0,1225.0,12.0,0.0,760000.0,1.0,2.0,1.0,40846.0,0.0
