"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""17301""",1591.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,2.0,4.0,5.0,129.0,0.0,1.0,7.0,0.0,30.0,1212.0,12.0,0.0,800000.0,6.0,3.0,1.0,40965.0,0.0
"""17302""",1642.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,11.0,11.0,24.0,120.0,0.0,1.0,3.0,0.0,36.0,979.0,12.0,112.0,800000.0,2.0,3.0,1.0,41212.0,1.0
"""17303""",1592.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,3.0,8.0,12.0,129.0,0.0,9.0,13.0,0.0,1830.0,1023.0,12.0,83.0,800000.0,4.0,2.0,1.0,40994.0,0.0
"""17304""",1593.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,1.0,7.0,9.0,129.0,0.0,7.0,15.0,0.0,960.0,1055.0,12.0,77.0,800000.0,6.0,3.0,1.0,40982.0,0.0
"""17305""",1598.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,5.0,6.0,69.0,127.0,0.0,1.0,9.0,0.0,38.0,1141.0,12.0,106.0,800000.0,2.0,3.0,1.0,41212.0,1.0
"""17306""",1643.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,6.0,12.0,22.0,120.0,0.0,1.0,15.0,0.0,140.0,1077.0,12.0,106.0,800000.0,2.0,2.0,1.0,41131.0,0.0
"""17307""",1644.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,12.0,1.0,21.0,120.0,0.0,77.0,16.0,0.0,85.0,1163.0,12.0,94.0,800000.0,2.0,2.0,4.0,41204.0,0.0
"""17308""",1645.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,7.0,9.0,6.0,118.0,-2.0,58.0,16.0,0.0,130.0,1197.0,12.0,83.0,800000.0,2.0,3.0,1.0,41127.0,0.0
"""17309""",1646.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,9.0,10.0,4.0,120.0,0.0,134.0,7.0,0.0,820.0,1007.0,12.0,77.0,800000.0,2.0,2.0,1.0,41191.0,0.0
"""17310""",1615.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,4.0,5.0,20.0,129.0,0.0,9.0,13.0,0.0,290.0,1080.0,12.0,89.0,800000.0,4.0,2.0,9.0,40947.0,0.0
"""17311""",1596.0,42148.0,34634.0,5.0,0.0,1000.0,3.0,10.0,3.0,1.0,118.0,-2.0,3.0,6.0,0.0,1420.0,1151.0,12.0,0.0,800000.0,10.0,8.0,1.0,41146.0,0.0
