"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""8962""",353.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,1.0,12.0,4.0,133.0,0.0,13.0,21.0,38.0,290.0,1190.0,12.0,100.0,550000.0,1.0,2.0,1.0,40123.0,0.0
"""8963""",1031.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,3.0,9.0,9.0,131.0,0.0,9.0,13.0,36.0,770.0,1102.0,12.0,86.0,550000.0,1.0,2.0,1.0,39767.0,0.0
"""8964""",895.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,2.0,8.0,51.0,132.0,0.0,9.0,6.0,37.0,35.0,1201.0,12.0,103.0,550000.0,1.0,2.0,1.0,39740.0,1.0
"""8965""",794.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,4.0,3.0,21.0,131.0,0.0,1.0,3.0,36.0,26.0,1162.0,12.0,101.0,550000.0,1.0,2.0,1.0,40428.0,1.0
"""8966""",592.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,8.0,11.0,22.0,124.0,0.0,13.0,4.0,29.0,670.0,1078.0,12.0,94.0,550000.0,6.0,2.0,1.0,39116.0,0.0
"""8967""",415.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,7.0,7.0,5.0,124.0,0.0,44.0,5.0,29.0,160.0,1006.0,12.0,91.0,550000.0,3.0,2.0,1.0,39219.0,0.0
"""8968""",1.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,6.0,6.0,8.0,122.0,-2.0,1.0,1.0,29.0,210.0,1150.0,12.0,95.0,550000.0,1.0,1.0,1.0,38970.0,0.0
"""8969""",663.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,9.0,5.0,55.0,124.0,0.0,7.0,18.0,29.0,210.0,1120.0,12.0,98.0,550000.0,4.0,1.0,1.0,39168.0,0.0
"""8970""",585.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,12.0,1.0,56.0,114.0,1.0,440.0,11.0,17.0,170.0,1152.0,12.0,0.0,550000.0,3.0,2.0,1.0,39170.0,0.0
"""8971""",172.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,5.0,10.0,16.0,127.0,0.0,259.0,17.0,32.0,170.0,1003.0,12.0,101.0,550000.0,2.0,2.0,1.0,40074.0,0.0
"""8972""",43.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,10.0,2.0,35.0,118.0,0.0,31.0,20.0,23.0,70.0,1043.0,12.0,0.0,550000.0,1.0,2.0,1.0,39666.0,0.0
"""8973""",887.0,41815.0,33732.0,3.0,5.0,1200.0,5.0,11.0,4.0,10.0,113.0,0.0,1.0,12.0,17.0,120.0,1003.0,12.0,101.0,550000.0,2.0,8.0,8.0,40119.0,0.0
"""8974""",266.0,41815.0,33733.0,3.0,5.0,1650.0,1.0,13.0,7.0,6.0,116.0,-2.0,1.0,1.0,24.0,450.0,1103.0,14.0,101.0,550000.0,1.0,2.0,1.0,38986.0,0.0
"""8975""",760.0,41815.0,33733.0,3.0,5.0,1650.0,1.0,11.0,14.0,1.0,117.0,-2.0,3.0,11.0,25.0,420.0,1119.0,14.0,0.0,550000.0,2.0,2.0,1.0,38237.0,0.0
"""8976""",525.0,41815.0,33733.0,3.0,5.0,1650.0,1.0,8.0,1.0,12.0,125.0,0.0,1.0,12.0,31.0,53.0,1063.0,14.0,102.0,550000.0,4.0,4.0,1.0,39844.0,1.0
"""8977""",237.0,41815.0,33733.0,3.0,5.0,1650.0,1.0,6.0,4.0,21.0,128.0,0.0,82.0,3.0,34.0,47.0,1009.0,14.0,91.0,550000.0,9.0,3.0,1.0,39702.0,0.0
"""8978""",59.0,41815.0,33733.0,3.0,5.0,1650.0,1.0,2.0,11.0,9.0,132.0,0.0,47.0,20.0,38.0,82.0,1069.0,14.0,100.0,550000.0,1.0,2.0,1.0,40118.0,0.0
"""8979""",255.0,41815.0,33733.0,3.0,5.0,1650.0,1.0,1.0,6.0,16.0,133.0,0.0,32.0,17.0,39.0,69.0,1065.0,14.0,102.0,550000.0,2.0,2.0,1.0,39707.0,0.0
