"""""","""ccode""","""date""","""raceref""","""course""","""raceclass""","""n_dist""","""going""","""horseno""","""drawing""","""jockey""","""wt_carried""","""netadj""","""blinker""","""trainer""","""rating""","""odd_fn""","""weights""","""runners""","""latest_sr""","""purse""","""ctry""","""color_e""","""sex""","""foaldate""",predict_result
"""13158""",1107.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,9.0,12.0,12.0,129.0,0.0,46.0,8.0,36.0,610.0,1062.0,12.0,91.0,575000.0,1.0,2.0,1.0,40445.0,0.0
"""13159""",795.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,8.0,3.0,27.0,129.0,0.0,9.0,14.0,36.0,450.0,1181.0,12.0,0.0,575000.0,4.0,6.0,3.0,40201.0,0.0
"""13160""",1257.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,5.0,8.0,15.0,130.0,-2.0,7.0,20.0,39.0,730.0,1115.0,12.0,93.0,575000.0,2.0,2.0,1.0,40407.0,0.0
"""13161""",1192.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,11.0,6.0,21.0,115.0,1.0,7.0,12.0,21.0,63.0,1134.0,12.0,100.0,575000.0,3.0,2.0,1.0,39538.0,1.0
"""13162""",592.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,12.0,2.0,1.0,111.0,-2.0,3.0,4.0,20.0,240.0,1087.0,12.0,93.0,575000.0,6.0,2.0,1.0,39116.0,0.0
"""13163""",1228.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,3.0,9.0,3.0,132.0,0.0,3.0,1.0,39.0,36.0,1156.0,12.0,104.0,575000.0,5.0,2.0,1.0,40431.0,1.0
"""13164""",695.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,10.0,11.0,6.0,115.0,-2.0,1.0,5.0,24.0,100.0,1191.0,12.0,101.0,575000.0,2.0,3.0,3.0,40076.0,1.0
"""13165""",1182.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,7.0,1.0,11.0,128.0,-2.0,1.0,11.0,37.0,96.0,1081.0,12.0,100.0,575000.0,1.0,2.0,1.0,40479.0,0.0
"""13166""",679.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,6.0,4.0,4.0,130.0,0.0,340.0,3.0,37.0,160.0,1102.0,12.0,107.0,575000.0,3.0,2.0,1.0,39199.0,1.0
"""13167""",821.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,4.0,5.0,22.0,132.0,0.0,9.0,18.0,39.0,46.0,1100.0,12.0,84.0,575000.0,2.0,3.0,1.0,40055.0,0.0
"""13168""",1144.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,1.0,10.0,8.0,131.0,-2.0,37.0,13.0,40.0,740.0,1079.0,12.0,81.0,575000.0,2.0,3.0,1.0,40495.0,0.0
"""13169""",895.0,42014.0,34301.0,3.0,5.0,1200.0,1.0,2.0,7.0,20.0,133.0,0.0,9.0,6.0,40.0,50.0,1197.0,12.0,106.0,575000.0,1.0,2.0,1.0,39740.0,1.0
"""13170""",1351.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,2.0,10.0,20.0,133.0,0.0,9.0,15.0,60.0,120.0,1023.0,13.0,93.0,760000.0,1.0,2.0,1.0,40460.0,0.0
"""13171""",587.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,9.0,5.0,1.0,120.0,-2.0,1.0,6.0,49.0,1880.0,1056.0,13.0,93.0,760000.0,1.0,2.0,1.0,39730.0,0.0
"""13172""",263.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,1.0,8.0,4.0,133.0,0.0,535.0,5.0,60.0,47.0,1080.0,13.0,105.0,760000.0,4.0,3.0,1.0,39866.0,1.0
"""13173""",1165.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,12.0,7.0,23.0,117.0,0.0,6.0,7.0,44.0,64.0,1177.0,13.0,103.0,760000.0,1.0,1.0,1.0,40480.0,1.0
"""13174""",1249.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,4.0,1.0,57.0,130.0,0.0,46.0,19.0,57.0,320.0,1100.0,13.0,108.0,760000.0,3.0,2.0,1.0,40640.0,0.0
"""13175""",448.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,10.0,13.0,22.0,121.0,0.0,3.0,4.0,48.0,300.0,1111.0,13.0,93.0,760000.0,4.0,5.0,1.0,39480.0,0.0
"""13176""",89.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,6.0,9.0,16.0,127.0,0.0,1.0,17.0,54.0,220.0,1212.0,13.0,100.0,760000.0,2.0,2.0,1.0,38992.0,0.0
"""13177""",282.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,5.0,4.0,27.0,128.0,0.0,1.0,3.0,55.0,67.0,1171.0,13.0,106.0,760000.0,4.0,2.0,1.0,39948.0,1.0
"""13178""",1164.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,11.0,6.0,9.0,119.0,0.0,40.0,13.0,46.0,1000.0,1145.0,13.0,95.0,760000.0,2.0,3.0,1.0,40433.0,0.0
"""13179""",241.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,13.0,12.0,8.0,112.0,-2.0,7.0,13.0,41.0,1570.0,1222.0,13.0,98.0,760000.0,2.0,3.0,1.0,39351.0,0.0
"""13180""",1206.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,7.0,3.0,21.0,125.0,0.0,37.0,16.0,52.0,32.0,977.0,13.0,106.0,760000.0,7.0,2.0,1.0,40598.0,1.0
"""13181""",697.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,3.0,2.0,3.0,131.0,0.0,145.0,18.0,58.0,93.0,1204.0,13.0,0.0,760000.0,2.0,2.0,1.0,40410.0,0.0
"""13182""",1062.0,42014.0,34302.0,3.0,4.0,1650.0,1.0,8.0,11.0,12.0,123.0,0.0,1.0,23.0,50.0,140.0,1079.0,13.0,99.0,760000.0,1.0,2.0,1.0,39724.0,0.0
"""13183""",1225.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,10.0,13.0,20.0,123.0,0.0,15.0,6.0,50.0,750.0,1087.0,14.0,107.0,760000.0,2.0,2.0,1.0,40827.0,0.0
"""13184""",1357.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,4.0,4.0,24.0,125.0,0.0,1.0,4.0,52.0,56.0,1156.0,14.0,105.0,760000.0,2.0,4.0,1.0,40815.0,1.0
"""13185""",1480.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,9.0,2.0,10.0,125.0,0.0,1.0,8.0,52.0,680.0,1073.0,14.0,81.0,760000.0,2.0,2.0,1.0,40846.0,0.0
"""13186""",1481.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,6.0,5.0,13.0,120.0,-5.0,215.0,15.0,52.0,1160.0,1040.0,14.0,93.0,760000.0,2.0,3.0,1.0,40802.0,0.0
"""13187""",1403.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,1.0,7.0,22.0,133.0,0.0,18.0,14.0,60.0,16.0,1162.0,14.0,108.0,760000.0,2.0,2.0,1.0,40448.0,1.0
"""13188""",1482.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,5.0,10.0,3.0,125.0,0.0,1.0,13.0,52.0,210.0,1076.0,14.0,105.0,760000.0,2.0,1.0,1.0,40798.0,0.0
"""13189""",876.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,3.0,1.0,16.0,131.0,0.0,7.0,7.0,58.0,160.0,1071.0,14.0,107.0,760000.0,1.0,2.0,1.0,39727.0,0.0
"""13190""",1483.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,8.0,12.0,4.0,125.0,0.0,86.0,19.0,52.0,580.0,1147.0,14.0,100.0,760000.0,2.0,3.0,1.0,40480.0,0.0
"""13191""",1402.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,11.0,6.0,21.0,123.0,0.0,26.0,10.0,50.0,120.0,1021.0,14.0,97.0,760000.0,2.0,2.0,1.0,40471.0,0.0
"""13192""",369.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,2.0,11.0,23.0,133.0,0.0,7.0,20.0,60.0,82.0,1165.0,14.0,105.0,760000.0,2.0,2.0,1.0,39304.0,0.0
"""13193""",1353.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,12.0,8.0,57.0,122.0,0.0,83.0,9.0,49.0,2770.0,1186.0,14.0,92.0,760000.0,2.0,2.0,1.0,40836.0,0.0
"""13194""",1484.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,7.0,14.0,50.0,125.0,0.0,77.0,3.0,52.0,1020.0,1067.0,14.0,72.0,760000.0,10.0,3.0,1.0,40461.0,0.0
"""13195""",930.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,14.0,3.0,27.0,119.0,0.0,18.0,23.0,46.0,240.0,1148.0,14.0,106.0,760000.0,2.0,2.0,1.0,40475.0,1.0
"""13196""",394.0,42014.0,34303.0,1.0,4.0,1200.0,2.0,13.0,9.0,1.0,119.0,-2.0,23.0,18.0,48.0,1820.0,1174.0,14.0,102.0,760000.0,1.0,4.0,1.0,39347.0,0.0
"""13197""",632.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,3.0,8.0,21.0,131.0,0.0,64.0,16.0,89.0,40.0,1163.0,14.0,116.0,1500000.0,2.0,2.0,1.0,40077.0,1.0
"""13198""",80.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,12.0,7.0,4.0,124.0,0.0,3.0,10.0,82.0,130.0,1155.0,14.0,114.0,1500000.0,2.0,2.0,1.0,39731.0,1.0
"""13199""",312.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,14.0,6.0,10.0,118.0,0.0,3.0,13.0,76.0,770.0,1141.0,14.0,111.0,1500000.0,1.0,4.0,1.0,40049.0,0.0
"""13200""",950.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,9.0,2.0,24.0,126.0,0.0,390.0,2.0,84.0,180.0,1178.0,14.0,116.0,1500000.0,1.0,2.0,1.0,39731.0,1.0
"""13201""",384.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,7.0,11.0,16.0,127.0,0.0,260.0,19.0,85.0,190.0,1042.0,14.0,119.0,1500000.0,2.0,3.0,1.0,40091.0,1.0
"""13202""",1485.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,10.0,13.0,57.0,125.0,0.0,108.0,4.0,83.0,3130.0,1096.0,14.0,107.0,1500000.0,6.0,3.0,1.0,40634.0,0.0
"""13203""",1486.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,6.0,3.0,23.0,127.0,0.0,206.0,16.0,85.0,430.0,1106.0,14.0,82.0,1500000.0,6.0,2.0,1.0,40592.0,0.0
"""13204""",498.0,42014.0,34304.0,1.0,2.0,1200.0,2.0,4.0,9.0,13.0,124.0,-5.0,9.0,15.0,87.0,750.0,1022.0,14.0,106.0,1500000.0,6.0,2.0,1.0,40226.0,0.0
